"subregion","long","lat","group","order"
"South Island",170.791213989258,-45.8438453674316,1108,69698
"South Island",170.776275634766,-45.8708992004395,1108,69699
"South Island",170.721786499023,-45.8780288696289,1108,69700
"South Island",170.674209594727,-45.8957023620605,1108,69701
"South Island",170.419128417969,-45.9410171508789,1108,69702
"South Island",170.33544921875,-45.9917945861816,1108,69703
"South Island",170.266799926758,-46.0826187133789,1108,69704
"South Island",170.186126708984,-46.1608390808105,1108,69705
"South Island",169.918258666992,-46.3343734741211,1108,69706
"South Island",169.7607421875,-46.4797859191895,1108,69707
"South Island",169.729110717773,-46.5213890075684,1108,69708
"South Island",169.686630249023,-46.5516586303711,1108,69709
"South Island",169.34228515625,-46.6205062866211,1108,69710
"South Island",169.0986328125,-46.6306648254395,1108,69711
"South Island",168.9658203125,-46.6129875183105,1108,69712
"South Island",168.837799072266,-46.5782241821289,1108,69713
"South Island",168.766799926758,-46.5663108825684,1108,69714
"South Island",168.631439208984,-46.5875968933105,1108,69715
"South Island",168.572265625,-46.6110343933105,1108,69716
"South Island",168.466415405273,-46.587890625,1108,69717
"South Island",168.382125854492,-46.6053733825684,1108,69718
"South Island",168.357223510742,-46.58837890625,1108,69719
"South Island",168.32568359375,-46.5457038879395,1108,69720
"South Island",168.343078613281,-46.4890594482422,1108,69721
"South Island",168.319732666016,-46.4471664428711,1108,69722
"South Island",168.266204833984,-46.4187507629395,1108,69723
"South Island",168.230270385742,-46.3857421875,1108,69724
"South Island",168.189163208008,-46.3622055053711,1108,69725
"South Island",168.077346801758,-46.3529281616211,1108,69726
"South Island",167.900390625,-46.3677749633789,1108,69727
"South Island",167.841995239258,-46.3662109375,1108,69728
"South Island",167.722076416016,-46.2271461486816,1108,69729
"South Island",167.682220458984,-46.1929702758789,1108,69730
"South Island",167.539459228516,-46.1485366821289,1108,69731
"South Island",167.490615844727,-46.1546859741211,1108,69732
"South Island",167.414260864258,-46.2289047241211,1108,69733
"South Island",167.368942260742,-46.2415046691895,1108,69734
"South Island",167.100296020508,-46.2494125366211,1108,69735
"South Island",166.830764770508,-46.2254867553711,1108,69736
"South Island",166.731536865234,-46.1978530883789,1108,69737
"South Island",166.712097167969,-46.1336898803711,1108,69738
"South Island",166.916702270508,-45.9572257995605,1108,69739
"South Island",166.8564453125,-45.9808616638184,1108,69740
"South Island",166.730270385742,-46.052734375,1108,69741
"South Island",166.64990234375,-46.0416984558105,1108,69742
"South Island",166.726959228516,-45.9632797241211,1108,69743
"South Island",166.733779907227,-45.9283180236816,1108,69744
"South Island",166.717971801758,-45.8893585205078,1108,69745
"South Island",166.612701416016,-45.9553718566895,1108,69746
"South Island",166.4931640625,-45.9638671875,1108,69747
"South Island",166.477630615234,-45.9027328491211,1108,69748
"South Island",166.48828125,-45.8318367004395,1108,69749
"South Island",166.512893676758,-45.8117179870605,1108,69750
"South Island",166.836029052734,-45.7745094299316,1108,69751
"South Island",166.952545166016,-45.7501945495605,1108,69752
"South Island",167.003311157227,-45.7121086120605,1108,69753
"South Island",166.809967041016,-45.6990242004395,1108,69754
"South Island",166.797653198242,-45.6456031799316,1108,69755
"South Island",166.825576782227,-45.6028327941895,1108,69756
"South Island",166.990814208984,-45.53173828125,1108,69757
"South Island",166.869049072266,-45.5499038696289,1108,69758
"South Island",166.733993530273,-45.5435562133789,1108,69759
